STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00024234,"SEATTLE BOEING FIELD, WA US",1/1/24,0,,47,33
USW00024234,"SEATTLE BOEING FIELD, WA US",1/2/24,0.05,,46,36
USW00024234,"SEATTLE BOEING FIELD, WA US",1/3/24,0.01,,50,39
USW00024234,"SEATTLE BOEING FIELD, WA US",1/4/24,0.02,,47,41
USW00024234,"SEATTLE BOEING FIELD, WA US",1/5/24,0.15,,48,40
USW00024234,"SEATTLE BOEING FIELD, WA US",1/6/24,0.37,,45,38
USW00024234,"SEATTLE BOEING FIELD, WA US",1/7/24,0,,43,37
USW00024234,"SEATTLE BOEING FIELD, WA US",1/8/24,0.22,,50,38
USW00024234,"SEATTLE BOEING FIELD, WA US",1/9/24,0.12,,50,39
USW00024234,"SEATTLE BOEING FIELD, WA US",1/10/24,0,,43,36
USW00024234,"SEATTLE BOEING FIELD, WA US",1/11/24,0,,44,27
USW00024234,"SEATTLE BOEING FIELD, WA US",1/12/24,0,,27,16
USW00024234,"SEATTLE BOEING FIELD, WA US",1/13/24,0,,25,14
USW00024234,"SEATTLE BOEING FIELD, WA US",1/14/24,0,,31,14
USW00024234,"SEATTLE BOEING FIELD, WA US",1/15/24,0,,36,18
USW00024234,"SEATTLE BOEING FIELD, WA US",1/16/24,0.06,,37,20
USW00024234,"SEATTLE BOEING FIELD, WA US",1/17/24,0.11,,37,31
USW00024234,"SEATTLE BOEING FIELD, WA US",1/18/24,0.05,,38,34
USW00024234,"SEATTLE BOEING FIELD, WA US",1/19/24,0,,47,36
USW00024234,"SEATTLE BOEING FIELD, WA US",1/20/24,0.15,,49,34
USW00024234,"SEATTLE BOEING FIELD, WA US",1/21/24,0.16,,49,42
USW00024234,"SEATTLE BOEING FIELD, WA US",1/22/24,0.04,,52,43
USW00024234,"SEATTLE BOEING FIELD, WA US",1/23/24,0,,54,39
USW00024234,"SEATTLE BOEING FIELD, WA US",1/24/24,0.22,,52,40
USW00024234,"SEATTLE BOEING FIELD, WA US",1/25/24,0.05,,52,42
USW00024234,"SEATTLE BOEING FIELD, WA US",1/26/24,0.22,,54,43
USW00024234,"SEATTLE BOEING FIELD, WA US",1/27/24,0.33,,55,48
USW00024234,"SEATTLE BOEING FIELD, WA US",1/28/24,0.4,,61,51
USW00024234,"SEATTLE BOEING FIELD, WA US",1/29/24,0,,60,48
USW00024234,"SEATTLE BOEING FIELD, WA US",1/30/24,0.02,,58,51
USW00024234,"SEATTLE BOEING FIELD, WA US",1/31/24,0.08,,57,50
USW00024234,"SEATTLE BOEING FIELD, WA US",2/1/24,0.07,,59,45
